position,username,user_id,title,text,highlighs,link,location,sentimen,label,address,latitude,longitude,words,stop_words,stemmed_words,processed
51,arahdotcom,4848874949.0,Alex Stefanus,Pak @cakimiNOW @Jazilul_Fawaid @rano_alfath mohon perhatian dan bantuan bpk2 di PKB atas nasib 26.000 pemegang polis Wanaartha Life yg sdh 6Â ...,['Wanaartha Life'],https://twitter.com/alexstefanus/status/1284461432961032193,"BalikpapanTengah,Indonesia",Negatif,0,"BalikpapanTengah,Indonesia",-1.2452915,116.8505397,"['Pak', 'cakimiNOW', 'mohon', 'perhatian', 'dan', 'bantuan', 'di', 'PKB', 'atas', 'nasib', 'pemegang', 'polis', 'Wanaartha', 'Life', 'yg', 'sdh']","['Pak', 'cakimiNOW', 'mohon', 'perhatian', '', 'bantuan', '', 'PKB', 'atas', 'nasib', 'pemegang', 'polis', 'Wanaartha', 'Life', 'yg', 'sdh']","['pak', 'cakiminow', 'mohon', 'perhati', '', 'bantu', '', 'pkb', 'atas', 'nasib', 'pegang', 'polis', 'wanaartha', 'life', 'yg', 'sdh']",pak cakiminow mohon perhati  bantu  pkb atas nasib pegang polis wanaartha life yg sdh
52,GULINGKUSUT,173907219.0,Alex Stefanus,Pak Jampidsus @KejaksaanRI kau anggap apa 26.000 pemegang polis wanaartha life ini? Setan blau? @jokowi @rano_alfath @hincapandjaitanÂ ...,['wanaartha life'],https://twitter.com/alexstefanus/status/1301520427496271874,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Pak', 'Jampidsus', 'KejaksaanRI', 'kau', 'anggap', 'apa', 'pemegang', 'polis', 'wanaartha', 'life', 'ini', 'Setan', 'blau', 'jokowi', 'hincapandjaitanÂ']","['Pak', 'Jampidsus', 'KejaksaanRI', 'kau', 'anggap', 'apa', 'pemegang', 'polis', 'wanaartha', 'life', '', 'Setan', 'blau', 'jokowi', 'hincapandjaitanÂ']","['pak', 'jampidsus', 'kejaksaanri', 'kau', 'anggap', 'apa', 'pegang', 'polis', 'wanaartha', 'life', '', 'setan', 'blau', 'jokowi', 'hincapandjaitan']",pak jampidsus kejaksaanri kau anggap apa pegang polis wanaartha life  setan blau jokowi hincapandjaitan
53,KompasData,771030588.0,Robert ST (@RobertS24601054) / X,"Tak Hanya Blokir dan Sita Aset, Polisi Juga Jemput Paksa Tersangka Wanaartha Life di Luar Negeri -... From m.tribunnews.com.",['Wanaartha Life'],https://twitter.com/RobertS24601054,"DKI Jakarta,Indonesia",Positif,1,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Tak', 'Hanya', 'Blokir', 'dan', 'Sita', 'Aset', 'Polisi', 'Juga', 'Jemput', 'Paksa', 'Tersangka', 'Wanaartha', 'Life', 'di', 'Luar', 'Negeri', 'From']","['Tak', 'Hanya', 'Blokir', '', 'Sita', 'Aset', 'Polisi', 'Juga', 'Jemput', 'Paksa', 'Tersangka', 'Wanaartha', 'Life', '', 'Luar', 'Negeri', 'From']","['tak', 'hanya', 'blokir', '', 'sita', 'aset', 'polisi', 'juga', 'jemput', 'paksa', 'sangka', 'wanaartha', 'life', '', 'luar', 'negeri', 'from']",tak hanya blokir  sita aset polisi juga jemput paksa sangka wanaartha life  luar negeri from
54,octania_,3230363209.0,Indonesia Raya (@Indones20366386) / X,@DPR_RI Â· @mprgoid Â· @mohmahfudmd Â· @mabespolrinews Â· Korban Wanaartha Life Ceritakan Awal Mula Masalah hingga Laporan ke Bareskrim Polri Â· From keuangan.kontanÂ ...,['Wanaartha Life'],https://twitter.com/Indones20366386,"Bekasi,JawaBarat",Netral,2,"Bekasi, Jawa Barat, 17144, Indonesia",-6.2349858,106.9945444,"['mprgoid', 'mohmahfudmd', 'mabespolrinews', 'Korban', 'Wanaartha', 'Life', 'Ceritakan', 'Awal', 'Mula', 'Masalah', 'hingga', 'Laporan', 'ke', 'Bareskrim', 'Polri', 'From']","['mprgoid', 'mohmahfudmd', 'mabespolrinews', 'Korban', 'Wanaartha', 'Life', 'Ceritakan', 'Awal', 'Mula', 'Masalah', 'hingga', 'Laporan', '', 'Bareskrim', 'Polri', 'From']","['mprgoid', 'mohmahfudmd', 'mabespolrinews', 'korban', 'wanaartha', 'life', 'cerita', 'awal', 'mula', 'masalah', 'hingga', 'lapor', '', 'bareskrim', 'polri', 'from']",mprgoid mohmahfudmd mabespolrinews korban wanaartha life cerita awal mula masalah hingga lapor  bareskrim polri from
55,djasMpu,3192723644.0,Rudy Limin,"Jeritan Korban Asuransi WanaArtha Life, Dimana Negara dan Kejaksaan? https://t.co/3xrdnaIML6.",['WanaArtha Life'],https://twitter.com/rudylimin/status/1260890831080157184,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Jeritan', 'Korban', 'Asuransi', 'WanaArtha', 'Life', 'Dimana', 'Negara', 'dan', 'Kejaksaan', 'https']","['Jeritan', 'Korban', 'Asuransi', 'WanaArtha', 'Life', 'Dimana', 'Negara', '', 'Kejaksaan', 'https']","['jerit', 'korban', 'asuransi', 'wanaartha', 'life', 'mana', 'negara', '', 'jaksa', 'https']",jerit korban asuransi wanaartha life mana negara  jaksa https
56,MarketmoverID,1.16e+18,polaroidblur77 - Polaris,Menakar Peluang Keberhasilan Gugatan PKPU oleh Nasabah Wanaartha Life http://kmp.im/AGEWDZ ... WanaArtha Life Jadwalkan Pelaksanaan RUPSLB 4 Januari 2023 https://Â ...,"['Wanaartha Life', 'WanaArtha Life']",https://twitter.com/polaroidblur77,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Menakar', 'Peluang', 'Keberhasilan', 'Gugatan', 'PKPU', 'oleh', 'Nasabah', 'Wanaartha', 'Life', 'http', 'WanaArtha', 'Life', 'Jadwalkan', 'Pelaksanaan', 'RUPSLB', 'Januari', 'https']","['Menakar', 'Peluang', 'Keberhasilan', 'Gugatan', 'PKPU', '', 'Nasabah', 'Wanaartha', 'Life', 'http', 'WanaArtha', 'Life', 'Jadwalkan', 'Pelaksanaan', 'RUPSLB', 'Januari', 'https']","['takar', 'peluang', 'hasil', 'gugat', 'pkpu', '', 'nasabah', 'wanaartha', 'life', 'http', 'wanaartha', 'life', 'jadwal', 'laksana', 'rupslb', 'januari', 'https']",takar peluang hasil gugat pkpu  nasabah wanaartha life http wanaartha life jadwal laksana rupslb januari https
57,KompasData,771030588.0,OJK Harus Segera Buka Blokir Rekening Efek WanaArtha ...,OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/jfPZ2TcICu via @ChangeOrg_ID.,['WanaArtha Life'],https://twitter.com/wiwison79/status/1235441181871374337,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['OJK', 'Harus', 'Segera', 'Buka', 'Blokir', 'Rekening', 'Efek', 'WanaArtha', 'Life', 'Tandatangani', 'Petisi', 'https', 'via']","['OJK', 'Harus', 'Segera', 'Buka', 'Blokir', 'Rekening', 'Efek', 'WanaArtha', 'Life', 'Tandatangani', 'Petisi', 'https', 'via']","['ojk', 'harus', 'segera', 'buka', 'blokir', 'rekening', 'efek', 'wanaartha', 'life', 'tandatangani', 'petisi', 'https', 'via']",ojk harus segera buka blokir rekening efek wanaartha life tandatangani petisi https via
58,octania_,3230363209.0,Alex Stefanus,"sdh 2thn nasib pemegang polis wanaartha life/WAL gak jelas. Beli polis krn ada embel2 terdaftar & diawasi OJK tp pas WAL kena kasus,Â ...",['wanaartha life'],https://twitter.com/alexstefanus/status/1480071268518936580,"Balikpapan, Indonesia",Negatif,0,"Balikpapan, Kalimantan Timur, 76128, Indonesia",-1.2398711,116.8593379,"['sdh', 'nasib', 'pemegang', 'polis', 'wanaartha', 'gak', 'jelas', 'Beli', 'polis', 'krn', 'ada', 'terdaftar', 'diawasi', 'OJK', 'tp', 'pas', 'WAL', 'kena', 'kasus', 'Â']","['sdh', 'nasib', 'pemegang', 'polis', 'wanaartha', 'gak', 'jelas', 'Beli', 'polis', 'krn', '', 'terdaftar', 'diawasi', 'OJK', 'tp', 'pas', 'WAL', 'kena', 'kasus', 'Â']","['sdh', 'nasib', 'pegang', 'polis', 'wanaartha', 'gak', 'jelas', 'beli', 'polis', 'krn', '', 'daftar', 'awas', 'ojk', 'tp', 'pas', 'wal', 'kena', 'kasus', '']",sdh nasib pegang polis wanaartha gak jelas beli polis krn  daftar awas ojk tp pas wal kena kasus 
59,Megatop99,278039207.0,Alex Stefanus,"Pak @jokowi, Pak @mohmahfudmd kl Restorative Justice thd nsbh Wanaartha Life kpn dilakukan? Ini akibat anak bh bpk di @KejaksaanRI yg sitaÂ ...",['Wanaartha Life'],https://twitter.com/alexstefanus/status/1430552570892750853,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Pak', 'jokowi', 'Pak', 'mohmahfudmd', 'kl', 'Restorative', 'Justice', 'thd', 'nsbh', 'Wanaartha', 'Life', 'kpn', 'dilakukan', 'Ini', 'akibat', 'anak', 'bh', 'bpk', 'di', 'KejaksaanRI', 'yg', 'sitaÂ']","['Pak', 'jokowi', 'Pak', 'mohmahfudmd', 'kl', 'Restorative', 'Justice', 'thd', 'nsbh', 'Wanaartha', 'Life', 'kpn', 'dilakukan', 'Ini', 'akibat', 'anak', 'bh', 'bpk', '', 'KejaksaanRI', 'yg', 'sitaÂ']","['pak', 'jokowi', 'pak', 'mohmahfudmd', 'kl', 'restorative', 'justice', 'thd', 'nsbh', 'wanaartha', 'life', 'kpn', 'laku', 'ini', 'akibat', 'anak', 'bh', 'bpk', '', 'kejaksaanri', 'yg', 'sita']",pak jokowi pak mohmahfudmd kl restorative justice thd nsbh wanaartha life kpn laku ini akibat anak bh bpk  kejaksaanri yg sita
60,djknkaltimtara,1.09e+18,Extordnry - Metaphor00,"Â·. Dec 5, 2022. Our government only take off the license of wanaartha life..so what abt the law which gov provide ?no one help you when you feel suffer. 5.",['wanaartha life'],https://twitter.com/Extordnry,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Dec', 'Our', 'government', 'only', 'take', 'off', 'the', 'license', 'of', 'wanaartha', 'life', 'so', 'what', 'abt', 'the', 'law', 'which', 'gov', 'provide', 'no', 'one', 'help', 'you', 'when', 'you', 'feel', 'suffer']","['Dec', 'Our', 'government', 'only', 'take', 'off', 'the', 'license', 'of', 'wanaartha', 'life', 'so', 'what', 'abt', 'the', 'law', 'which', 'gov', 'provide', 'no', 'one', 'help', 'you', 'when', 'you', 'feel', 'suffer']","['dec', 'our', 'government', 'only', 'take', 'off', 'the', 'license', 'of', 'wanaartha', 'life', 'so', 'what', 'abt', 'the', 'law', 'which', 'gov', 'provide', 'no', 'one', 'help', 'you', 'when', 'you', 'feel', 'suffer']",dec our government only take off the license of wanaartha life so what abt the law which gov provide no one help you when you feel suffer
61,djasMpu,3192723644.0,Ryan setiawan (@xueyunxue1986) / X,Ryan setiawan's posts ... Suasana Duka Pada saat Meninggalnya Nasabah WanaArtha Life Deddy... ... Sosok Misterius Yang Bisikin Erick Thohir Soal Kerja Sat SethttpsÂ ...,['WanaArtha Life'],https://twitter.com/xueyunxue1986,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Ryan', 'setiawan', 'posts', 'Suasana', 'Duka', 'Pada', 'saat', 'Meninggalnya', 'Nasabah', 'WanaArtha', 'Life', 'Deddy', 'Sosok', 'Misterius', 'Yang', 'Bisikin', 'Erick', 'Thohir', 'Soal', 'Kerja', 'Sat', 'SethttpsÂ']","['Ryan', 'setiawan', 'posts', 'Suasana', 'Duka', 'Pada', '', 'Meninggalnya', 'Nasabah', 'WanaArtha', 'Life', 'Deddy', 'Sosok', 'Misterius', 'Yang', 'Bisikin', 'Erick', 'Thohir', 'Soal', 'Kerja', 'Sat', 'SethttpsÂ']","['ryan', 'setiawan', 'posts', 'suasana', 'duka', 'pada', '', 'tinggal', 'nasabah', 'wanaartha', 'life', 'deddy', 'sosok', 'misterius', 'yang', 'bisikin', 'erick', 'thohir', 'soal', 'kerja', 'sat', 'sethttps']",ryan setiawan posts suasana duka pada  tinggal nasabah wanaartha life deddy sosok misterius yang bisikin erick thohir soal kerja sat sethttps
62,murezfah,1.09e+18,taPikir - Easy Going,"Jun 10, 2023 Â· #sh*t $wskt lagi... bakalan auto 50 saat unlock. Terungkap, Auditor Waskita Karya Terlibat Skandal Wanaartha Life - Market Â· FromÂ ...",['Wanaartha Life'],https://twitter.com/taPikir,cianjurjawabarat,Negatif,0,"Cianjur, Jawa Barat",-6.824096,107.1374006,"['Jun', 'sh', 't', 'wskt', 'lagi', 'bakalan', 'auto', 'saat', 'unlock', 'Terungkap', 'Auditor', 'Waskita', 'Karya', 'Terlibat', 'Skandal', 'Wanaartha', 'Life', 'Market', 'FromÂ']","['Jun', 'sh', 't', 'wskt', '', 'bakalan', 'auto', '', 'unlock', 'Terungkap', 'Auditor', 'Waskita', 'Karya', 'Terlibat', 'Skandal', 'Wanaartha', 'Life', 'Market', 'FromÂ']","['jun', 'sh', 't', 'wskt', '', 'bakal', 'auto', '', 'unlock', 'ungkap', 'auditor', 'waskita', 'karya', 'libat', 'skandal', 'wanaartha', 'life', 'market', 'from']",jun sh t wskt  bakal auto  unlock ungkap auditor waskita karya libat skandal wanaartha life market from
63,KBernegara,1.13e+18,Rudy Limin,OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/JFIUe96tmz via @Change.,['WanaArtha Life'],https://twitter.com/rudylimin/status/1235614471994802179,Jepara,Negatif,0,"Jepara, Jawa Tengah",-6.5906502,110.6673202,"['OJK', 'Harus', 'Segera', 'Buka', 'Blokir', 'Rekening', 'Efek', 'WanaArtha', 'Life', 'Tandatangani', 'Petisi', 'https', 'via', 'Change']","['OJK', 'Harus', 'Segera', 'Buka', 'Blokir', 'Rekening', 'Efek', 'WanaArtha', 'Life', 'Tandatangani', 'Petisi', 'https', 'via', 'Change']","['ojk', 'harus', 'segera', 'buka', 'blokir', 'rekening', 'efek', 'wanaartha', 'life', 'tandatangani', 'petisi', 'https', 'via', 'change']",ojk harus segera buka blokir rekening efek wanaartha life tandatangani petisi https via change
64,demafebuin2019,4801790833.0,Alex Stefanus,Kl bpk2 @KejaksaanRI melakukan kasasi melawan pemegang polis Wanaartha Life yg tdk bersalah artinya Jaksa Agung & jajarannya membangkangÂ ...,['Wanaartha Life'],https://twitter.com/alexstefanus/status/1447570125008236548,"Bandung,JawaBarat",Negatif,0,"Bandung, Jawa Barat, 40252, Indonesia",-6.9344694,107.6049539,"['Kl', 'KejaksaanRI', 'melakukan', 'kasasi', 'melawan', 'pemegang', 'polis', 'Wanaartha', 'Life', 'yg', 'tdk', 'bersalah', 'artinya', 'Jaksa', 'Agung', 'jajarannya', 'membangkangÂ']","['Kl', 'KejaksaanRI', 'melakukan', 'kasasi', 'melawan', 'pemegang', 'polis', 'Wanaartha', 'Life', 'yg', 'tdk', 'bersalah', 'artinya', 'Jaksa', 'Agung', 'jajarannya', 'membangkangÂ']","['kl', 'kejaksaanri', 'laku', 'kasasi', 'lawan', 'pegang', 'polis', 'wanaartha', 'life', 'yg', 'tdk', 'salah', 'arti', 'jaksa', 'agung', 'jajar', 'bangkang']",kl kejaksaanri laku kasasi lawan pegang polis wanaartha life yg tdk salah arti jaksa agung jajar bangkang
65,demafebuin2019,4801790833.0,wasiatkita,"1. wasiatkita Â· @wasiatkita. Â·. Aug 31, 2017. Wasiatkita menjadi narasumber dalam gathering yang diadakan oleh Wanaartha life dengan topik. ""7kesalahan umum"".",['Wanaartha life'],https://twitter.com/wasiatkita,iNews Tower Lantai10,Negatif,0,"iNews Tower, Jalan Kebon Sirih Jakarta",-6.1849205,106.8308589,"['wasiatkita', 'wasiatkita', 'Aug', 'Wasiatkita', 'menjadi', 'narasumber', 'dalam', 'gathering', 'yang', 'diadakan', 'oleh', 'Wanaartha', 'life', 'dengan', 'topik', 'umum']","['wasiatkita', 'wasiatkita', 'Aug', 'Wasiatkita', 'menjadi', 'narasumber', '', 'gathering', '', 'diadakan', '', 'Wanaartha', 'life', '', 'topik', 'umum']","['wasiatkita', 'wasiatkita', 'aug', 'wasiatkita', 'jadi', 'narasumber', '', 'gathering', '', 'ada', '', 'wanaartha', 'life', '', 'topik', 'umum']",wasiatkita wasiatkita aug wasiatkita jadi narasumber  gathering  ada  wanaartha life  topik umum
66,cagubnyinyir2,1.01e+18,Easy Going,"#sh*t $wskt lagi... bakalan auto 50 saat unlock. Terungkap, Auditor Waskita Karya Terlibat Skandal Wanaartha Life - Market.",['Wanaartha Life'],https://twitter.com/taPikir/status/1667503751614312450,"KotaYogyakarta,Yogyakarta",Negatif,0,"Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",-7.8011945,110.364917,"['sh', 't', 'wskt', 'lagi', 'bakalan', 'auto', 'saat', 'unlock', 'Terungkap', 'Auditor', 'Waskita', 'Karya', 'Terlibat', 'Skandal', 'Wanaartha', 'Life', 'Market']","['sh', 't', 'wskt', '', 'bakalan', 'auto', '', 'unlock', 'Terungkap', 'Auditor', 'Waskita', 'Karya', 'Terlibat', 'Skandal', 'Wanaartha', 'Life', 'Market']","['sh', 't', 'wskt', '', 'bakal', 'auto', '', 'unlock', 'ungkap', 'auditor', 'waskita', 'karya', 'libat', 'skandal', 'wanaartha', 'life', 'market']",sh t wskt  bakal auto  unlock ungkap auditor waskita karya libat skandal wanaartha life market
67,KompasData,771030588.0,Subur Jaya Abadi Permai (@PermaiSubur) ...,"Bola Salju Kasus Gagal Bayar Wanaartha Life, Bakal Berakhir Bangkrut dan Pailit? ... Teman2 seperjuangan para pemegang polis Wanaartha Life & teman2 ygÂ ...","['Wanaartha Life', 'Wanaartha Life']",https://twitter.com/PermaiSubur,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Bola', 'Salju', 'Kasus', 'Gagal', 'Bayar', 'Wanaartha', 'Life', 'Bakal', 'Berakhir', 'Bangkrut', 'dan', 'Pailit', 'seperjuangan', 'para', 'pemegang', 'polis', 'Wanaartha', 'Life', 'ygÂ']","['Bola', 'Salju', 'Kasus', 'Gagal', 'Bayar', 'Wanaartha', 'Life', 'Bakal', 'Berakhir', 'Bangkrut', '', 'Pailit', 'seperjuangan', '', 'pemegang', 'polis', 'Wanaartha', 'Life', 'ygÂ']","['bola', 'salju', 'kasus', 'gagal', 'bayar', 'wanaartha', 'life', 'bakal', 'akhir', 'bangkrut', '', 'pailit', 'juang', '', 'pegang', 'polis', 'wanaartha', 'life', 'yg']",bola salju kasus gagal bayar wanaartha life bakal akhir bangkrut  pailit juang  pegang polis wanaartha life yg
68,cahnewrock,192883709.0,"""17. Jadi, ingin kami katakan, nasabah Wanaartha Life ...","17. Jadi, ingin kami katakan, nasabah Wanaartha Life jangan mau dikadalin berkali kali oleh Direksi dan Pemilik Wanaartha.",['Wanaartha Life'],https://twitter.com/ChopShopkc1/status/1326832164046958592,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Jadi', 'ingin', 'kami', 'katakan', 'nasabah', 'Wanaartha', 'Life', 'jangan', 'mau', 'dikadalin', 'berkali', 'kali', 'oleh', 'Direksi', 'dan', 'Pemilik', 'Wanaartha']","['Jadi', '', '', 'katakan', 'nasabah', 'Wanaartha', 'Life', 'jangan', 'mau', 'dikadalin', 'berkali', 'kali', '', 'Direksi', '', 'Pemilik', 'Wanaartha']","['jadi', '', '', 'kata', 'nasabah', 'wanaartha', 'life', 'jangan', 'mau', 'dikadalin', 'kali', 'kali', '', 'direksi', '', 'milik', 'wanaartha']",jadi   kata nasabah wanaartha life jangan mau dikadalin kali kali  direksi  milik wanaartha
69,DwikyPS,162393179.0,"23. Kasus Jiwasraya, Kejagung Periksa Pemilik Asuransi ...","23. Kasus Jiwasraya, Kejagung Periksa Pemilik Asuransi WanaArtha Life.",['WanaArtha Life'],https://twitter.com/ChopShopkc1/status/1326832203175587842,Yogyakarta,Negatif,0,"Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",-7.8011945,110.364917,"['Kasus', 'Jiwasraya', 'Kejagung', 'Periksa', 'Pemilik', 'Asuransi', 'WanaArtha', 'Life']","['Kasus', 'Jiwasraya', 'Kejagung', 'Periksa', 'Pemilik', 'Asuransi', 'WanaArtha', 'Life']","['kasus', 'jiwasraya', 'jagung', 'periksa', 'milik', 'asuransi', 'wanaartha', 'life']",kasus jiwasraya jagung periksa milik asuransi wanaartha life
70,Goring28,1156254122.0,Polaris,WanaArtha Life Jadwalkan Pelaksanaan RUPSLB 4 Januari 2023 https://finansial.bisnis.com/read/20230101/215/1613833/wanaartha-life-jadwalkanÂ ...,"['WanaArtha Life', 'wanaartha-life']",https://twitter.com/polaroidblur77/status/1609602593952792577,"Jakarta Barat, DKI Jakarta",Netral,2,"Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.16156235,106.7438912,"['WanaArtha', 'Life', 'Jadwalkan', 'Pelaksanaan', 'RUPSLB', 'Januari', 'https']","['WanaArtha', 'Life', 'Jadwalkan', 'Pelaksanaan', 'RUPSLB', 'Januari', 'https']","['wanaartha', 'life', 'jadwal', 'laksana', 'rupslb', 'januari', 'https']",wanaartha life jadwal laksana rupslb januari https
71,renandabachtar,74103498.0,Mutie Septianingsih,"""Silaturahim.."" WanaArtha Life terima kasih Pak nasihatnya, berkah kita semua @haikal_hassan @haikalbaras.",['WanaArtha Life'],https://twitter.com/MutieHaryanto/status/758601934320246785,"Balikpapan,Indonesia",Positif,1,"Balikpapan, Kalimantan Timur, 76128, Indonesia",-1.2398711,116.8593379,"['Silaturahim', 'WanaArtha', 'Life', 'terima', 'kasih', 'Pak', 'nasihatnya', 'berkah', 'kita', 'semua', 'haikalbaras']","['Silaturahim', 'WanaArtha', 'Life', 'terima', 'kasih', 'Pak', 'nasihatnya', 'berkah', '', 'semua', 'haikalbaras']","['silaturahim', 'wanaartha', 'life', 'terima', 'kasih', 'pak', 'nasihat', 'berkah', '', 'semua', 'haikalbaras']",silaturahim wanaartha life terima kasih pak nasihat berkah  semua haikalbaras
72,RifanAryanto,819993330.0,vitrieFebry - ipit,"â˜º Â· @vitriefebry. Â·. Jul 20, 2016. Rabu kelabu. Tapi dapet cemilan sebanyak ini. Gajadi kelabu   (at Wanaartha Life Pondok Kelapa) [pic] â€” https://path.com/p/Â ...",['Wanaartha Life'],https://twitter.com/vitriefebry,"Bandung,JawaBarat",Negatif,0,"Bandung, Jawa Barat, 40252, Indonesia",-6.9344694,107.6049539,"['vitriefebry', 'Jul', 'Rabu', 'kelabu', 'Tapi', 'dapet', 'cemilan', 'sebanyak', 'ini', 'Gajadi', 'kelabu', 'at', 'Wanaartha', 'Life', 'Pondok', 'Kelapa', 'pic', 'https']","['vitriefebry', 'Jul', 'Rabu', 'kelabu', 'Tapi', 'dapet', 'cemilan', 'sebanyak', '', 'Gajadi', 'kelabu', 'at', 'Wanaartha', 'Life', 'Pondok', 'Kelapa', 'pic', 'https']","['vitriefebry', 'jul', 'rabu', 'kelabu', 'tapi', 'dapet', 'cemilan', 'banyak', '', 'gajadi', 'kelabu', 'at', 'wanaartha', 'life', 'pondok', 'kelapa', 'pic', 'https']",vitriefebry jul rabu kelabu tapi dapet cemilan banyak  gajadi kelabu at wanaartha life pondok kelapa pic https
73,cagubnyinyir2,1.01e+18,168,"... -tunggal-ojk-ratusan-nasabah-wanaartha-life-kawal-yudisial-review-uu-ppsk-di-mk/â€¦ Translate post. 12:16 AM Â· Jul 26, 2023. Â·. 168. Views. 1. Repost.",['wanaartha-life'],https://twitter.com/machrilmachril1/status/1683994762419003392,"Jakarta Pusat,DKI Jakarta",Netral,2,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715,"['Translate', 'post', 'AM', 'Jul', 'Views', 'Repost']","['Translate', 'post', 'AM', 'Jul', 'Views', 'Repost']","['translate', 'post', 'am', 'jul', 'views', 'repost']",translate post am jul views repost
74,KompasData,771030588.0,buyung86779669 - dody,PT Asuransi Jiwa Adisarana Wanaartha atau WanaArtha Life meluncurkan WanaArtha DPLK (Dana Pensiun Lembaga Keuangan).,['WanaArtha Life'],https://twitter.com/buyung86779669,"Palmerah,Jakarta",Netral,2,"Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1910017,106.7943633,"['PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'atau', 'WanaArtha', 'Life', 'meluncurkan', 'WanaArtha', 'DPLK', 'Dana', 'Pensiun', 'Lembaga', 'Keuangan']","['PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', '', 'WanaArtha', 'Life', 'meluncurkan', 'WanaArtha', 'DPLK', 'Dana', 'Pensiun', 'Lembaga', 'Keuangan']","['pt', 'asuransi', 'jiwa', 'adisarana', 'wanaartha', '', 'wanaartha', 'life', 'luncur', 'wanaartha', 'dplk', 'dana', 'pensiun', 'lembaga', 'uang']",pt asuransi jiwa adisarana wanaartha  wanaartha life luncur wanaartha dplk dana pensiun lembaga uang
75,cahnewrock,192883709.0,"Lyn on X: ""Nasabah butuh duitt...."" / X",Nasabah Gagal Bayar WanaArtha Life Minta Direksi Baru Percepat Penyehatan KeuanganÂ ...,['WanaArtha Life'],https://twitter.com/Lolypop502/status/1531950958972129280,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Nasabah', 'Gagal', 'Bayar', 'WanaArtha', 'Life', 'Minta', 'Direksi', 'Baru', 'Percepat', 'Penyehatan', 'KeuanganÂ']","['Nasabah', 'Gagal', 'Bayar', 'WanaArtha', 'Life', 'Minta', 'Direksi', 'Baru', 'Percepat', 'Penyehatan', 'KeuanganÂ']","['nasabah', 'gagal', 'bayar', 'wanaartha', 'life', 'minta', 'direksi', 'baru', 'cepat', 'sehat', 'uang']",nasabah gagal bayar wanaartha life minta direksi baru cepat sehat uang
76,DwikyPS,162393179.0,Hendri Kong,... ! @jokowi kembalikan uang kami @KejaksaanRI @ojkindonesia @PNjktpusat atau karma yang akan membalas derita 26ribu nasabah WanaArtha Life!,['WanaArtha Life'],https://twitter.com/hendrisamuel/status/1338870021930450944,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['jokowi', 'kembalikan', 'uang', 'kami', 'KejaksaanRI', 'ojkindonesia', 'PNjktpusat', 'atau', 'karma', 'yang', 'akan', 'membalas', 'derita', 'nasabah', 'WanaArtha', 'Life']","['jokowi', 'kembalikan', 'uang', '', 'KejaksaanRI', 'ojkindonesia', 'PNjktpusat', '', 'karma', '', '', 'membalas', 'derita', 'nasabah', 'WanaArtha', 'Life']","['jokowi', 'kembali', 'uang', '', 'kejaksaanri', 'ojkindonesia', 'pnjktpusat', '', 'karma', '', '', 'balas', 'derita', 'nasabah', 'wanaartha', 'life']",jokowi kembali uang  kejaksaanri ojkindonesia pnjktpusat  karma   balas derita nasabah wanaartha life
